,Price
32058,287.3054338708174
9562,134.6171823875853
7080,119.16121674773662
24470,167.92492767939038
38021,87.43833726883781
30900,240.93578152670327
46655,240.9835682397214
23285,430.3958230438157
19241,129.4559099437148
4029,138.9637475687203
20231,234.05253283302065
43891,138.63886096369205
23638,730.4969543027822
39423,246.65092464872697
12364,203.97612445363532
24389,227.66292716197464
47743,208.49402800177643
27402,154.98953409064185
41151,228.4151216889159
32271,304.08239351290894
32759,484.2016963370305
39034,368.69052907207816
30021,235.80948830273093
32884,339.50041942399105
47277,336.34854965757427
38533,230.5192527996633
38856,126.71545133612324
31557,230.21716842203367
27538,535.5252945741904
10074,104.23483219594276
26789,341.72957971730284
23700,122.2982666572591
2149,103.1096946546997
14565,188.08630393996248
32557,243.0329014819648
43311,242.6764547728708
47773,218.0772736834724
20920,713.0929702015569
2374,133.33958240573665
46982,276.04422317275555
16790,466.9324577861163
2097,370.9605605417946
33507,394.02553826078855
10907,137.00239695445788
26977,186.740045626661
12802,125.72261127038588
4764,69.59904389192229
1410,258.4772572821222
16528,226.54784240150093
14049,227.7106734972036
16854,283.30206378986867
44056,145.41883898721156
44055,136.300937507306
226,83.65945679938135
30944,301.2862335725604
35327,312.7038866623171
12639,127.60257555106452
5128,185.3631101633352
10989,192.93133430464823
20735,310.9198240786472
43696,115.72721109110888
23819,149.81537665514242
8628,261.05450126203607
2949,127.71541724275303
1174,92.79872518922971
7901,121.48858426234084
10036,185.5660465551089
29925,332.5100195731196
10801,150.6321379893782
2891,69.59904389192229
16671,188.08630393996248
41117,161.5505108362752
31484,281.2470873333955
10565,148.75217370869953
48031,310.16992730757545
33544,457.6381769037189
17672,436.21013133208254
36637,124.3775278797372
38767,247.5860940312814
13114,183.7665084363397
22193,614.3136009783861
21761,671.6997107175615
47631,202.88432321249093
29060,374.8912250993673
17444,102.72045028142588
11846,64.85876768341402
23810,122.5334556316
11671,72.14362927104385
6551,353.0616519654618
33516,609.7958803243546
31538,339.50041942399105
36485,196.15177799078856
1698,93.97042626485133
38217,132.79405232272694
14769,403.37711069418384
5549,167.80319780296506
25202,216.6090453679532
7656,202.48097377056808
43076,290.13630093750726
47901,324.4279269803427
33987,452.0458570230217
33224,312.7038866623171
41040,184.4621607088584
34221,258.1787678255196
24092,124.17977845198617
13297,139.11735677022136
45947,170.62852067409955
33352,362.10271227514215
26939,219.19612408570285
40910,140.5091997288009
31595,347.88889924503684
33280,474.6481498741728
6036,185.2584541624968
23153,141.8189515275524
1497,116.93576734703444
35729,386.1030850964675
14076,116.0877943319077
37680,198.255909101536
28438,310.44944612996545
39429,154.3029481214785
21056,87.9606764034902
3282,152.789820261055
24465,112.42032973494204
31281,498.4155093671358
47806,289.83474744641563
14182,379.517789162006
31842,266.334234318203
46866,285.1599934553444
31396,322.4904464535372
31052,190.138875943704
750,86.94021981112179
14856,310.0375234521576
19833,378.0487804878048
35935,171.264796346351
18097,158.53658536585365
21210,543.5217197017804
311,98.65723056733766
25746,141.8189515275524
22892,139.23187280980267
10993,142.64228979649388
4665,358.0718487099571
15177,91.69793621013132
47699,149.59212771427903
20290,608.9042545685459
1696,157.47662456354135
7416,217.6088626154956
11396,117.26277200733186
6865,115.67016547583027
26894,199.6754392154096
32434,134.4486904650946
5053,55.772971199587566
36418,126.94924368176184
22404,303.8641548484207
7599,106.59343216887378
22986,141.8189515275524
41479,103.80380146354008
18480,262.6641651031895
19327,268.29268292682923
28139,183.6825889602296
46978,168.2911436785639
32582,322.2574331251748
45746,110.3241941892808
22464,262.4708953644253
8304,299.149294194634
13424,243.45537434788736
2489,191.4559557565674
27680,319.386627154919
14475,761.3855336748602
13676,89.29830333223669
4593,171.53703747100042
46554,208.72776570133
15825,151.9699812382739
14857,124.29643527204502
41317,119.93547331260372
5756,436.3814089882933
33279,521.4838288750117
25924,438.1570591970648
32579,200.3914623916488
23502,131.47063665655355
3350,138.9637475687203
23744,217.7849902396576
36402,136.06714516166738
12678,232.1755886638154
21716,604.67085303041
438,82.25341550863544
45482,81.34071944463923
6740,223.1945446505457
20999,417.9308074037489
20255,280.2532833020638
5684,225.7546489166104
41319,170.66841231618076
41352,209.01035700091177
1188,92.79872518922971
35152,176.15807624196106
29590,126.76685716973589
44442,252.02814859841487
45279,220.414650679008
31603,181.51738279429583
19707,198.87429643527204
30144,224.3918352129742
6649,113.57553471268648
45679,115.93389897856626
45083,208.0751876183573
16002,182.4577861163227
20442,269.5265645946518
32953,218.10047534718987
7981,131.96173807805988
9595,738.5248200430026
38476,138.40506861805343
29716,284.5786589524683
773,286.363742881916
36384,161.5505108362752
3394,93.97042626485133
41726,233.79234563860376
19460,159.47467166979362
30426,517.988628949576
37339,133.72922170528136
36978,195.91798564515
46915,185.58773344552745
31326,695.3117718333489
45441,92.79386672276372
10439,157.75451061045152
18583,85.36585365853658
20909,465.909358169289
25448,530.8215150873727
29120,522.3547120111009
10172,125.03505655791342
5809,219.7034933786394
30076,183.1484760928325
41330,251.32677156149904
26156,148.16905383475623
33109,264.470127691304
25327,123.7094005033044
36564,173.9415051551212
38656,264.1853505716223
6222,411.94405008494886
25094,396.76379971306943
19240,234.7560975609756
1426,127.71541724275303
8101,519.538188277087
40370,161.5505108362752
2754,62.80317765331709
14956,216.93245778611632
47278,180.9129794544562
45097,419.65726042129376
29875,489.5610028893653
35943,229.5181284369466
45634,150.76081621204685
36602,184.4621607088584
1763,142.47885079558503
17608,84.42776735459663
27137,115.94816435005528
1656,138.9637475687203
8202,424.418061138637
2277,106.62479788156446
19811,158.53658536585365
19048,276.5009380863039
21396,213.3163997271808
10941,88.12332565681253
7747,462.6806619033211
4559,145.05659316195255
34685,613.2910802497903
15000,228.89305816135084
18899,144.4652908067542
896,98.65723056733766
40942,122.27339676898976
14981,478.4240150093808
2927,92.79872518922971
36225,172.7725434269282
40689,216.4917120613471
6561,113.57553471268648
26511,649.3567581551777
14948,215.75984990619136
38488,161.5505108362752
24971,393.0007761236153
28510,175.68616383263952
36099,169.86671637617673
6401,356.5527032373682
31916,585.0964675179421
31754,336.23823282691774
43004,342.0382016692773
24190,314.2124697194196
41719,278.9142683468543
20283,220.1368799830664
16801,269.4652908067542
47787,148.42343921651124
22798,425.2216656083163
16348,226.54784240150093
37829,139.57403034624645
35061,265.86820766147827
19025,135.31894934333957
4679,104.2813957303213
5771,381.9210091465543
21712,193.7957148568875
38483,87.43833726883781
16759,223.03001876172607
31327,556.2028148010066
180,116.93576734703444
13826,169.19678526108004
30014,327.61673967750954
19590,216.46341463414632
10035,125.03505655791342
45215,162.21396349017135
8090,139.29139010937644
10587,161.44193260328055
34161,127.9243172709479
21739,612.1969002093182
20933,154.98953409064185
20817,138.52630588678002
13,101.93799357907812
4251,162.16342886602772
8494,145.36786014770496
3674,83.42511658425703
8721,276.0119659717678
36688,193.58006218876392
19020,326.2195121951219
7671,182.93108664789256
31261,271.22751421381304
18180,177.0637898686679
19939,180.34709193245777
25789,184.1529669089113
13203,138.6473657000517
46911,110.3241941892808
34901,146.5653835399385
4496,107.79649895718605
46209,301.75537012364725
5460,804.1054762957618
36379,253.89848736352369
28284,336.32023330746256
20164,146.81050656660412
28434,265.29316305651594
22292,316.5643594628284
36189,368.69052907207816
43204,171.13599700745797
15712,426.36022514071294
16253,327.6266416510319
15832,302.0637898686679
14759,133.44277673545966
48040,273.4731084776664
22761,175.21578588395775
28681,509.6545073966933
42781,115.72721109110888
1213,61.39713636257119
36327,206.2048488532485
47534,336.34854965757427
28131,310.44944612996545
17704,164.16510318949344
31161,449.7157237393979
10735,115.14781219156836
14100,125.9576068054707
14095,121.72768717394368
